;PRECIOS DE HORTOFRUTÍCOLAS DE VENTA;;;;;;;
;;;;;;;;
;Código;Productos;Tipo;Calidad / Tamaño;Unidad de Venta;Precio Venta;IVA;
;4001123;AGUACATE HASS;Importado;Extra;kg;2288;1%;
;4001124;AGUACATE HASS;Importado;Súper Extra;kg;2593;1%;
;4001125;AGUACATE HASS;Importado  ;Supremo;kg;2898;1%;
;4001003;AGUACATE HASS;Importado;;und;724;1%;
;4001002;AGUACATE HASS;Importado;;kg;2898;1%;
;4001073;AGUACATE HASS;Nacional;Extra (129 g - 209 g);kg;2441;1%;
;4001178;AGUACATE HASS;Nacional;Super Extra (210 g - 250 g);kg;2593;1%;
;4001179;AGUACATE HASS;Nacional;Supremo (<250 g);kg;3051;1%;
;4001074;AGUACATE ;Nacional;;kg;2670;1%;
;4002001;AJO ;Importado;;kg;1983;1%;
;4002037;ALBAHACA;;rollo 5 rollitos;rollo 500 g;2178;13%;
;4002038;ALFALFA;;90 g;bandeja;1526;13%;
;4003001;APIO VERDE;;;kg;2409;1%;
;4003028;APIO VERDE;;;mata 750 g;1831;1%;
;4002039;ARRACACHE ;;;kg;2746;13%;
;4002040;ARÚGULA;;;250 g;1145;13%;
;4002041;ARVEJAS;;;kg;2136;13%;
;4002093;AYOTE MANTEQUILLA;;;kg;1220;1%;
;4002002;AYOTE  SAZÓN;;;kg;458;1%;
;4002003;AYOTE TIERNO;;;und;763;1%;
;4001005;BANANO CRIOLLO;;;und;46;1%;
;4001164;BANANO DÁTIL;; Bandeja plástica 1 kg ;kg;1008;1%;
;4001167;BANANO DÁTIL;; Bolsa plástica 500 g ;kg;504;1%;
;4001071;BANANO ;Exportación;;und;82;1%;
;4001006;BANANO ;Maduro;;und;49;1%;
;4001007;BANANO ;Verde;;und;49;1%;
;4002004;BERENJENA;;;und;458;13%;
;4002005;BRÓCOLI;;;kg;1220;13%;
;4002072;BRÓCOLI;;;und;610;13%;
;4002006;CAMOTE;;;kg;1220;1%;
;4001008;CARAMBOLA;;;kg;1220;1%;
;4001010;CAS;;;kg;1220;13%;
;4003003;CEBOLLA SECA AMARILLA;Primera;;kg;1220;1%;
