;PRECIOS DE HORTOFRUTÍCOLAS DE VENTA;;;;;;;
;;;;;;;;
;Código;Productos;Tipo;Calidad / Tamaño;Unidad de Venta;Precio Venta ;IVA;
;4001123;AGUACATE HASS;Importado;Extra;kg;2268;1%;
;4001124;AGUACATE HASS;Importado;Súper Extra;kg;3175;1%;
;4001125;AGUACATE HASS;Importado  ;Supremo;kg;3478;1%;
;4001003;AGUACATE HASS;Importado;;und;869;1%;
;4001002;AGUACATE HASS;Importado;;kg;3478;1%;
;4001073;AGUACATE HASS;Nacional;Extra (129 g - 209 g);kg;2419;1%;
;4001178;AGUACATE HASS;Nacional;Super Extra (210 g - 250 g);kg;2570;1%;
;4001179;AGUACATE HASS;Nacional;Supremo (<250 g);kg;3024;1%;
;4001074;AGUACATE ;Nacional;;kg;2352;1%;
;4002001;AJO ;Importado;;kg;1966;1%;
;4002037;ALBAHACA;;rollo 5 rollitos;rollo 500 g;2158;13%;
;4002038;ALFALFA;;90 g;bandeja;1512;13%;
;4003001;APIO VERDE;;;kg;1990;1%;
;4003028;APIO VERDE;;;mata 750 g;1512;1%;
;4002039;ARRACACHE ;;;kg;2722;13%;
;4002040;ARÚGULA;;;250 g;1512;13%;
;4002041;ARVEJAS;;;kg;2117;13%;
;4002093;AYOTE MANTEQUILLA;;;kg;1210;1%;
;4002002;AYOTE  SAZÓN;;;kg;605;1%;
;4002003;AYOTE TIERNO;;;und;605;1%;
;4001005;BANANO CRIOLLO;;;und;45;1%;
;4001164;BANANO DÁTIL;; Bandeja plástica 1 kg ;kg;999;1%;
;4001167;BANANO DÁTIL;; Bolsa plástica 500 g ;kg;500;1%;
;4001071;BANANO ;Exportación;;und;82;1%;
;4001006;BANANO ;Maduro;;und;48;1%;
;4001007;BANANO ;Verde;;und;48;1%;
;4002004;BERENJENA;;;und;605;13%;
;4002005;BRÓCOLI;;;kg;1512;13%;
;4002072;BRÓCOLI;;;und;756;13%;
;4002006;CAMOTE;;;kg;1210;1%;
;4001008;CARAMBOLA;;;kg;1512;1%;
;4001010;CAS;;;kg;1512;13%;
;4003003;CEBOLLA SECA AMARILLA;Primera;;kg;1154;1%;
